# Re(psi) 	 Im(psi)
1.251833316820467884e-05 0.000000000000000000e+00
1.379987781882509692e-05 0.000000000000000000e+00
1.520681653880192706e-05 0.000000000000000000e+00
1.675080571511953527e-05 0.000000000000000000e+00
1.844452291550602297e-05 0.000000000000000000e+00
2.030175025312620031e-05 0.000000000000000000e+00
2.233746398561838923e-05 0.000000000000000000e+00
2.456793076353327391e-05 0.000000000000000000e+00
2.701081096647518038e-05 0.000000000000000000e+00
2.968526958942553569e-05 0.000000000000000000e+00
3.261209516685090675e-05 0.000000000000000000e+00
3.581382724826841945e-05 0.000000000000000000e+00
3.931489296596009668e-05 0.000000000000000000e+00
4.314175326349097629e-05 0.000000000000000000e+00
4.732305938258755241e-05 0.000000000000000000e+00
5.188982023576016949e-05 0.000000000000000000e+00
5.687558132278976457e-05 0.000000000000000000e+00
6.231661588082408664e-05 0.000000000000000000e+00
6.825212899031218871e-05 0.000000000000000000e+00
7.472447539231782173e-05 0.000000000000000000e+00
8.177939180684870178e-05 0.000000000000000000e+00
8.946624457667545435e-05 0.000000000000000000e+00
9.783829349663490779e-05 0.000000000000000000e+00
1.069529727245550671e-04 0.000000000000000000e+00
1.168721897066332167e-04 0.000000000000000000e+00
1.276626430872640082e-04 0.000000000000000000e+00
1.393961606108610010e-04 0.000000000000000000e+00
1.521500580610457294e-04 0.000000000000000000e+00
1.660075203205814052e-04 0.000000000000000000e+00
1.810580056734853091e-04 0.000000000000000000e+00
1.973976745087319704e-04 0.000000000000000000e+00
2.151298436227149728e-04 0.000000000000000000e+00
2.343654673550150903e-04 0.000000000000000000e+00
2.552236468288546982e-04 0.000000000000000000e+00
2.778321686037236939e-04 0.000000000000000000e+00
3.023280740828482370e-04 0.000000000000000000e+00
3.288582610522241233e-04 0.000000000000000000e+00
3.575801187606387219e-04 0.000000000000000000e+00
3.886621979812135224e-04 0.000000000000000000e+00
4.222849175242662919e-04 0.000000000000000000e+00
4.586413086984485058e-04 0.000000000000000000e+00
4.979377992418814987e-04 0.000000000000000000e+00
5.403950382670898471e-04 0.000000000000000000e+00
5.862487637826112015e-04 0.000000000000000000e+00
6.357507143699105872e-04 0.000000000000000000e+00
6.891695866063082343e-04 0.000000000000000000e+00
7.467920398326881749e-04 0.000000000000000000e+00
8.089237498684085986e-04 0.000000000000000000e+00
8.758905132747156356e-04 0.000000000000000000e+00
9.480394037616533646e-04 0.000000000000000000e+00
1.025739982321569477e-03 0.000000000000000000e+00
1.109385562654396223e-03 0.000000000000000000e+00
1.199394533425530854e-03 0.000000000000000000e+00
1.296211738865862611e-03 0.000000000000000000e+00
1.400309919184897006e-03 0.000000000000000000e+00
1.512191212221481026e-03 0.000000000000000000e+00
1.632388717701930897e-03 0.000000000000000000e+00
1.761468125411885712e-03 0.000000000000000000e+00
1.900029408515491961e-03 0.000000000000000000e+00
2.048708583173106806e-03 0.000000000000000000e+00
2.208179535516054028e-03 0.000000000000000000e+00
2.379155916933683914e-03 0.000000000000000000e+00
2.562393108513507690e-03 0.000000000000000000e+00
2.758690255349106717e-03 0.000000000000000000e+00
2.968892371292371733e-03 0.000000000000000000e+00
3.193892514575939843e-03 0.000000000000000000e+00
3.434634034568091656e-03 0.000000000000000000e+00
3.692112889745367225e-03 0.000000000000000000e+00
3.967380036777451262e-03 0.000000000000000000e+00
4.261543890413993854e-03 0.000000000000000000e+00
4.575772853643755161e-03 0.000000000000000000e+00
4.911297917362364256e-03 0.000000000000000000e+00
5.269415328535911533e-03 0.000000000000000000e+00
5.651489325583207088e-03 0.000000000000000000e+00
6.058954939419733919e-03 0.000000000000000000e+00
6.493320858310928749e-03 0.000000000000000000e+00
6.956172354371309256e-03 0.000000000000000000e+00
7.449174269219208805e-03 0.000000000000000000e+00
7.974074055954341253e-03 0.000000000000000000e+00
8.532704874267374104e-03 0.000000000000000000e+00
9.126988735117112089e-03 0.000000000000000000e+00
9.758939691022171237e-03 0.000000000000000000e+00
1.043066706761037153e-02 0.000000000000000000e+00
1.114437873165087869e-02 0.000000000000000000e+00
1.190238439036188367e-02 0.000000000000000000e+00
1.270709891634096839e-02 0.000000000000000000e+00
1.356104569200657778e-02 0.000000000000000000e+00
1.446685996696855069e-02 0.000000000000000000e+00
1.542729222126357561e-02 0.000000000000000000e+00
1.644521152689930668e-02 0.000000000000000000e+00
1.752360889964935803e-02 0.000000000000000000e+00
1.866560063253183688e-02 0.000000000000000000e+00
1.987443160188761757e-02 0.000000000000000000e+00
2.115347853645275014e-02 0.000000000000000000e+00
2.250625323929349511e-02 0.000000000000000000e+00
2.393640575194439998e-02 0.000000000000000000e+00
2.544772744956079469e-02 0.000000000000000000e+00
2.704415405536969574e-02 0.000000000000000000e+00
2.872976856217834829e-02 0.000000000000000000e+00
3.050880404818049479e-02 0.000000000000000000e+00
3.238564637378830990e-02 0.000000000000000000e+00
3.436483674571577662e-02 0.000000000000000000e+00
3.645107413404880675e-02 0.000000000000000000e+00
3.864921752756155654e-02 0.000000000000000000e+00
4.096428801207972065e-02 0.000000000000000000e+00
4.340147065625230005e-02 0.000000000000000000e+00
4.596611618867710997e-02 0.000000000000000000e+00
4.866374244993357245e-02 0.000000000000000000e+00
5.150003560271380204e-02 0.000000000000000000e+00
5.448085108291068207e-02 0.000000000000000000e+00
5.761221427422433955e-02 0.000000000000000000e+00
6.090032088858778753e-02 0.000000000000000000e+00
6.435153703449268681e-02 0.000000000000000000e+00
6.797239895511966723e-02 0.000000000000000000e+00
7.176961241804739877e-02 0.000000000000000000e+00
7.575005173823520788e-02 0.000000000000000000e+00
7.992075841594578622e-02 0.000000000000000000e+00
8.428893937130414737e-02 0.000000000000000000e+00
8.886196475727591026e-02 0.000000000000000000e+00
9.364736533299804211e-02 0.000000000000000000e+00
9.865282937960924425e-02 0.000000000000000000e+00
1.038861991410095637e-01 0.000000000000000000e+00
1.093554667723311280e-01 0.000000000000000000e+00
1.150687697793269654e-01 0.000000000000000000e+00
1.210343859323858573e-01 0.000000000000000000e+00
1.272607276394589759e-01 0.000000000000000000e+00
1.337563357628420990e-01 0.000000000000000000e+00
1.405298728654962581e-01 0.000000000000000000e+00
1.475901158734117535e-01 0.000000000000000000e+00
1.549459481414282302e-01 0.000000000000000000e+00
1.626063509109147154e-01 0.000000000000000000e+00
1.705803941487933628e-01 0.000000000000000000e+00
1.788772267585565234e-01 0.000000000000000000e+00
1.875060661551801178e-01 0.000000000000000000e+00
1.964761871971764662e-01 0.000000000000000000e+00
2.057969104704582275e-01 0.000000000000000000e+00
2.154775899201973322e-01 0.000000000000000000e+00
2.255275998284622940e-01 0.000000000000000000e+00
2.359563211370984126e-01 0.000000000000000000e+00
2.467731271170790774e-01 0.000000000000000000e+00
2.579873683873979417e-01 0.000000000000000000e+00
2.696083572884916402e-01 0.000000000000000000e+00
2.816453516171731897e-01 0.000000000000000000e+00
2.941075377321178963e-01 0.000000000000000000e+00
3.070040130410713330e-01 0.000000000000000000e+00
3.203437678831347335e-01 0.000000000000000000e+00
3.341356668217283499e-01 0.000000000000000000e+00
3.483884293661271281e-01 0.000000000000000000e+00
3.631106101418021259e-01 0.000000000000000000e+00
3.783105785321782544e-01 0.000000000000000000e+00
3.939964978168303267e-01 0.000000000000000000e+00
4.101763038335708988e-01 0.000000000000000000e+00
4.268576831943379224e-01 0.000000000000000000e+00
4.440480510872497066e-01 0.000000000000000000e+00
4.617545286996584952e-01 0.000000000000000000e+00
